num;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
80;1;80_1;2;1;4;1;12;;;;;;;;7;6;6;5;6;6;6;6;6;6;6;6;6;6
100;1;100_1;1;2;3;1;1;;;;;;;;7;7;7;7;4;7;5;6;6;6;7;5;6;6
102;1;102_1;3;1;3;1;30;;;;;;;;6;7;7;6;7;5;6;6;7;7;7;6;7;6
104;1;104_1;2;1;3;1;6;;;;;;;;6;6;6;6;5;4;6;6;5;6;6;4;5;6
106;1;106_1;2;1;4;1;1.5;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6
112;1;112_1;2;1;3;1;25;;;;;;;;6;4;6;4;4;6;3;4;6;6;6;3;6;6
140;1;140_1;3;1;4;4;;;;;;;;;5;5;5;5;3;5;4;4;5;4;4;5;5;6
148;1;148_1;3;1;4;1;9;;;;;;;;6;6;6;6;6;6;6;6;7;7;6;5;6;6
152;1;152_1;1;1;3;1;4;;;;;;;;6;7;7;7;6;6;7;7;6;6;7;4;6;6
172;1;172_1;2;1;4;1;85;;;;;;;;6;6;7;6;5;5;6;5;6;5;6;6;6;6
174;1;174_1;2;2;3;1;10;;;;;;;;5;5;5;5;5;5;6;6;7;6;5;5;5;6
176;1;176_1;2;1;3;1;6;;;;;;;;5;6;6;6;6;6;5;5;6;6;6;4;6;6
180;1;180_1;3;1;3;1;11;;;;;;;;5;5;6;5;4;6;4;5;5;5;6;4;5;6
184;1;184_1;2;1;3;1;3;;;;;;;;5;7;;5;4;7;6;6;6;6;6;6;6;6
186;1;186_1;2;1;4;1;2.5;;;;;;;;6;5;6;5;6;5;6;5;6;6;6;6;6;6
190;1;190_1;2;1;4;1;35;;;;;;;;7;7;7;7;7;7;6;6;6;6;6;6;6;6
206;1;206_1;2;1;3;1;4;;;;;;;;6;5;6;5;5;5;6;4;5;5;5;6;6;6
