num;split;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
375;1;1;375_1;1;2;4;1;2;;;;;;;;6;5;6;6;7;6;6;6;6;5;6;6;6;6
379;1;1;379_1;1;1;3;1;5;;;;;;;;5;6;6;5;5;6;5;5;6;5;5;5;5;6
385;1;1;385_1;2;2;3;1;5;;;;;;;;3;5;7;1;6;5;5;6;7;4;6;3;5;6
401;1;1;401_1;2;2;5;1;45;;;;;;;;7;6;6;7;5;5;5;7;6;5;6;3;6;6
407;1;1;407_1;1;1;3;1;6;;;;;;;;6;6;6;6;6;6;6;6;7;5;6;5;6;6
409;1;1;409_1;2;1;3;1;6;;;;;;;;7;6;6;7;6;6;6;6;5;6;6;5;5;6
415;1;1;415_1;2;1;3;1;4.5;;;;;;;;7;6;6;7;7;7;6;6;6;6;6;5;6;6
431;1;1;431_1;2;1;4;1;9;;;;;;;;5;5;6;6;5;5;5;4;6;6;6;5;6;6
433;1;1;433_1;1;1;3;1;4;;;;;;;;2;2;4;6;1;6;2;2;6;6;4;1;6;6
435;1;1;435_1;1;1;3;1;2;;;;;;;;5;6;6;5;6;6;6;6;6;6;6;3;5;6
439;1;1;439_1;4;1;4;1;14;;;;;;;;5;6;6;6;4;4;6;6;4;4;5;4;6;6
449;1;1;449_1;2;2;4;1;6;;;;;;;;6;6;6;6;6;6;5;4;6;5;6;4;6;6
455;1;1;455_1;3;2;4;1;45;;;;;;;;5;6;6;6;5;6;5;5;6;6;6;5;6;6
457;1;1;457_1;3;2;4;1;10;;;;;;;;6;5;6;5;6;7;6;6;6;6;5;7;7;6
465;1;1;465_1;3;1;3;1;15;;;;;;;;5;6;7;6;6;4;6;6;6;6;6;4;6;6
487;1;1;487_1;3;1;4;1;4;;;;;;;;6;6;7;6;6;7;6;6;7;6;6;6;6;6
489;1;1;489_1;2;1;4;1;10;;;;;;;;5;6;6;5;6;6;6;6;5;;6;5;6;6
501;1;1;501_1;3;1;3;1;23;;;;;;;;7;5;7;5;5;5;6;6;6;6;6;5;6;6
515;1;1;515_1;4;1;4;1;2;;;;;;;;6;6;7;6;7;5;6;6;6;6;6;5;6;6
517;1;1;517_1;2;1;4;;8;;;;;;;;5;6;6;5;5;6;5;6;6;6;6;5;6;6
557;1;2;15_2;35;2;;;;2;7;;;;;;;;;;6;4;6;6;5;5;6;4;5;6
561;1;2;19_2;38;2;;;;10;6;;;;;;5;5;5;5;5;6;6;6;6;6;6;6;6;6
569;1;2;27_2;49;2;;;;25;6;;;;;;6;6;6;6;6;7;6;6;6;6;6;6;6;6
575;1;2;33_2;31;2;;;;8;6;;;;;;5;5;5;5;4;6;5;5;5;6;6;5;6;6
613;1;2;71_2;53;2;;;;31;6;;;;;;5;7;7;5;6;7;6;7;7;7;6;4;6;6
627;1;3;7_3;;Femme;D.E.C. (études collégiales);;10 ans et plus;;;;;;;;6;5;5;5;5;5;5;5;5;5;6;5;5;6
631;1;3;11_3;;Femme;Certificat (études universitaires de 1er cycle, 30 crédits);;Plus de 5 ans à moins de 10 ans;;;;;;;;6;7;7;7;5;7;7;7;6;5;6;5;6;6
633;1;3;13_3;25 à 34 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;4;6;6;5;6;7;4;4;6;6;6;4;6;6
